time,heart_rate
2024-11-28T09:23:23Z,76
2024-11-28T09:23:28Z,77
2024-11-28T09:23:33Z,73
2024-11-28T09:23:38Z,71
2024-11-28T09:23:53Z,70
2024-11-28T09:23:58Z,69
2024-11-28T09:24:03Z,70
2024-11-28T09:24:08Z,72
2024-11-28T09:24:13Z,73
2024-11-28T09:24:18Z,74
2024-11-28T09:24:23Z,75
2024-11-28T09:24:28Z,76
2024-11-28T09:24:33Z,77
2024-11-28T09:24:38Z,78
2024-11-28T09:24:43Z,80
2024-11-28T09:24:48Z,77
2024-11-28T09:24:53Z,76
2024-11-28T09:25:08Z,76
2024-11-28T09:25:23Z,74
2024-11-28T09:25:38Z,74
2024-11-28T09:25:48Z,73
2024-11-28T09:25:58Z,74
2024-11-28T09:26:08Z,75
2024-11-28T09:26:18Z,74
2024-11-28T09:26:23Z,73
2024-11-28T09:26:28Z,75
2024-11-28T09:26:33Z,76
2024-11-28T09:26:43Z,75
2024-11-28T09:26:58Z,75
2024-11-28T09:27:03Z,76
2024-11-28T09:27:08Z,75
2024-11-28T09:27:23Z,74
2024-11-28T09:27:28Z,67
2024-11-28T09:27:33Z,66
2024-11-28T09:27:48Z,65
2024-11-28T09:27:53Z,65
2024-11-28T09:27:58Z,65
2024-11-28T09:28:08Z,68
2024-11-28T09:28:13Z,69
2024-11-28T09:28:28Z,70
2024-11-28T09:28:43Z,70
2024-11-28T09:28:48Z,72
2024-11-28T09:28:53Z,66
2024-11-28T09:28:58Z,63
2024-11-28T09:29:08Z,62
2024-11-28T09:29:23Z,62
2024-11-28T09:29:28Z,63
2024-11-28T09:29:33Z,64
2024-11-28T09:29:38Z,63
2024-11-28T09:29:43Z,62
2024-11-28T09:29:48Z,63
2024-11-28T09:29:58Z,64
2024-11-28T09:30:03Z,67
2024-11-28T09:30:08Z,68
2024-11-28T09:30:23Z,68
2024-11-28T09:30:28Z,67
2024-11-28T09:30:38Z,66
2024-11-28T09:30:43Z,65
2024-11-28T09:30:53Z,63
2024-11-28T09:31:08Z,63
2024-11-28T09:31:13Z,62
2024-11-28T09:31:18Z,61
2024-11-28T09:31:28Z,61
2024-11-28T09:31:33Z,62
2024-11-28T09:31:38Z,63
2024-11-28T09:31:43Z,62
2024-11-28T09:31:58Z,61
2024-11-28T09:32:03Z,62
2024-11-28T09:32:08Z,63
2024-11-28T09:32:23Z,63
2024-11-28T09:32:28Z,63
2024-11-28T09:32:38Z,64
2024-11-28T09:32:53Z,64
2024-11-28T09:32:58Z,63
2024-11-28T09:33:03Z,62
2024-11-28T09:33:08Z,60
2024-11-28T09:33:23Z,61
2024-11-28T09:33:33Z,62
2024-11-28T09:33:48Z,62
2024-11-28T09:34:03Z,63
2024-11-28T09:34:18Z,63
2024-11-28T09:34:33Z,63
2024-11-28T09:34:48Z,62
2024-11-28T09:34:53Z,63
2024-11-28T09:34:58Z,66
2024-11-28T09:35:13Z,65
2024-11-28T09:35:23Z,66
2024-11-28T09:35:38Z,66
2024-11-28T09:35:53Z,68
2024-11-28T09:35:58Z,69
2024-11-28T09:36:03Z,70
2024-11-28T09:36:18Z,68
2024-11-28T09:36:23Z,67
2024-11-28T09:36:33Z,65
2024-11-28T09:36:48Z,65
2024-11-28T09:36:53Z,64
2024-11-28T09:36:58Z,62
2024-11-28T09:37:03Z,61
2024-11-28T09:37:18Z,61
2024-11-28T09:37:23Z,62
2024-11-28T09:37:28Z,61
2024-11-28T09:37:43Z,61
2024-11-28T09:37:58Z,61
2024-11-28T09:38:03Z,62
2024-11-28T09:38:18Z,62
2024-11-28T09:38:33Z,62
2024-11-28T09:38:43Z,64
2024-11-28T09:38:48Z,63
2024-11-28T09:39:03Z,63
2024-11-28T09:39:18Z,63
2024-11-28T09:39:28Z,64
2024-11-28T09:39:33Z,63
2024-11-28T09:39:43Z,64
2024-11-28T09:39:48Z,65
2024-11-28T09:39:53Z,62
2024-11-28T09:40:08Z,62
2024-11-28T09:40:13Z,63
2024-11-28T09:40:28Z,62
2024-11-28T09:40:38Z,63
2024-11-28T09:40:48Z,64
2024-11-28T09:40:53Z,65
2024-11-28T09:40:58Z,64
2024-11-28T09:41:03Z,63
2024-11-28T09:41:08Z,64
2024-11-28T09:41:13Z,65
2024-11-28T09:41:18Z,66
2024-11-28T09:41:23Z,67
2024-11-28T09:41:33Z,66
2024-11-28T09:41:38Z,65
2024-11-28T09:41:53Z,65
2024-11-28T09:42:03Z,64
2024-11-28T09:42:18Z,64
2024-11-28T09:42:33Z,66
2024-11-28T09:42:43Z,67
2024-11-28T09:42:48Z,68
2024-11-28T09:42:53Z,69
2024-11-28T09:43:03Z,70
2024-11-28T09:43:08Z,71
2024-11-28T09:43:13Z,72
2024-11-28T09:43:18Z,74
2024-11-28T09:43:23Z,73
2024-11-28T09:43:28Z,72
2024-11-28T09:43:33Z,72
2024-11-28T09:43:38Z,73
2024-11-28T09:43:43Z,72
2024-11-28T09:43:48Z,73
2024-11-28T09:44:03Z,74
2024-11-28T09:44:08Z,75
2024-11-28T09:44:13Z,76
2024-11-28T09:44:18Z,77
2024-11-28T09:44:33Z,77
2024-11-28T09:44:38Z,77
2024-11-28T09:44:43Z,79
2024-11-28T09:44:53Z,78
2024-11-28T09:44:58Z,75
2024-11-28T09:45:03Z,73
2024-11-28T09:45:08Z,74
2024-11-28T09:45:13Z,75
2024-11-28T09:45:23Z,77
2024-11-28T09:45:28Z,76
2024-11-28T09:45:43Z,77
2024-11-28T09:45:48Z,74
2024-11-28T09:45:53Z,72
2024-11-28T09:45:58Z,72
2024-11-28T09:46:13Z,72
2024-11-28T09:46:28Z,72
2024-11-28T09:46:43Z,72
2024-11-28T09:46:48Z,73
2024-11-28T09:46:53Z,74
2024-11-28T09:46:58Z,74
2024-11-28T09:47:08Z,74
2024-11-28T09:47:23Z,74
2024-11-28T09:47:33Z,75
2024-11-28T09:47:43Z,76
2024-11-28T09:47:53Z,77
2024-11-28T09:48:03Z,75
2024-11-28T09:48:08Z,76
2024-11-28T09:48:13Z,79
2024-11-28T09:48:18Z,79
2024-11-28T09:48:28Z,77
2024-11-28T09:48:33Z,74
2024-11-28T09:48:38Z,73
2024-11-28T09:48:43Z,74
2024-11-28T09:48:48Z,73
2024-11-28T09:48:53Z,74
2024-11-28T09:48:58Z,76
2024-11-28T09:49:08Z,73
2024-11-28T09:49:23Z,73
2024-11-28T09:49:28Z,72
2024-11-28T09:49:43Z,71
2024-11-28T09:49:58Z,71
2024-11-28T09:50:13Z,70
2024-11-28T09:50:18Z,69
2024-11-28T09:50:23Z,68
2024-11-28T09:50:38Z,69
2024-11-28T09:50:43Z,70
2024-11-28T09:50:48Z,71
2024-11-28T09:51:03Z,71
2024-11-28T09:51:13Z,73
2024-11-28T09:51:28Z,72
2024-11-28T09:51:33Z,71
2024-11-28T09:51:48Z,71
2024-11-28T09:51:58Z,72
2024-11-28T09:52:03Z,71
2024-11-28T09:52:08Z,71
2024-11-28T09:52:13Z,71
2024-11-28T09:52:23Z,72
2024-11-28T09:52:33Z,73
2024-11-28T09:52:43Z,72
2024-11-28T09:52:48Z,71
2024-11-28T09:52:58Z,70
2024-11-28T09:53:08Z,68
2024-11-28T09:53:18Z,67
2024-11-28T09:53:28Z,68
2024-11-28T09:53:33Z,69
2024-11-28T09:53:38Z,71
2024-11-28T09:53:43Z,71
2024-11-28T09:53:53Z,72
2024-11-28T09:53:58Z,71
2024-11-28T09:54:03Z,69
2024-11-28T09:54:13Z,70
2024-11-28T09:54:28Z,70
2024-11-28T09:54:43Z,69
2024-11-28T09:54:53Z,70
2024-11-28T09:55:08Z,70
2024-11-28T09:55:18Z,69
2024-11-28T09:55:23Z,70
2024-11-28T09:55:38Z,70
2024-11-28T09:55:53Z,70
2024-11-28T09:56:08Z,71
2024-11-28T09:56:18Z,70
2024-11-28T09:56:33Z,70
2024-11-28T09:56:38Z,71
2024-11-28T09:56:43Z,72
2024-11-28T09:56:58Z,72
2024-11-28T09:57:03Z,74
2024-11-28T09:57:08Z,75
2024-11-28T09:57:18Z,74
2024-11-28T09:57:23Z,73
2024-11-28T09:57:33Z,71
2024-11-28T09:57:38Z,70
2024-11-28T09:57:43Z,71
2024-11-28T09:57:53Z,73
2024-11-28T09:57:58Z,74
2024-11-28T09:58:03Z,76
2024-11-28T09:58:08Z,75
2024-11-28T09:58:13Z,72
2024-11-28T09:58:23Z,73
2024-11-28T09:58:28Z,72
2024-11-28T09:58:33Z,72
2024-11-28T09:58:43Z,73
2024-11-28T09:58:53Z,75
2024-11-28T09:58:58Z,73
2024-11-28T09:59:08Z,73
2024-11-28T09:59:23Z,73
2024-11-28T09:59:28Z,73
2024-11-28T09:59:33Z,73
