date,steps
2022-10-20,5896
2022-10-21,11525
2022-10-22,10070
2022-10-23,8759
2022-10-24,11313
2022-10-25,12204
2022-10-26,8803
2022-10-27,7597
2022-10-28,16949
2022-10-29,9994
2022-10-30,4716
2022-10-31,14323
2022-11-01,5763
2022-11-02,6042
2022-11-03,6919
2022-11-04,7726
2022-11-05,8621
2022-11-06,9809
2022-11-07,10960
2022-11-08,5044
2022-11-09,8884
2022-11-10,6241
2022-11-11,5593
2022-11-12,7504
2022-11-13,5694
2022-11-14,10924
2022-11-15,5698
2022-11-16,6171
2022-11-17,6528
2022-11-18,10065
2022-11-19,4316
2022-11-20,4102
2022-11-21,9313
2022-11-22,10726
2022-11-23,7635
2022-11-24,7469
2022-11-25,3583
2022-11-26,7385
2022-11-27,11894
2022-11-28,7445
2022-11-29,10651
2022-11-30,5108
2022-12-01,10703
2022-12-02,5940
2022-12-03,8983
2022-12-04,8042
2022-12-05,11647
2022-12-06,5097
2022-12-07,4813
2022-12-08,6211
2022-12-09,5982
2022-12-10,8771
2022-12-11,8094
2022-12-12,8771
2022-12-13,10208
2022-12-14,6110
2022-12-15,6564
2022-12-16,7411
2022-12-17,3503
2022-12-18,3665
2022-12-19,8266
2022-12-20,7232
2022-12-21,6833
2022-12-22,1679
2022-12-23,4385
2022-12-24,1609
2022-12-25,3176
2022-12-26,3651
2022-12-27,3681
2022-12-28,4436
2022-12-29,7720
2022-12-30,5781
2022-12-31,501
2023-01-01,173
2023-01-02,2831
2023-01-03,4086
2023-01-04,6158
2023-01-05,6601
2023-01-06,5779
2023-01-07,2422
2023-01-08,12723
2023-01-09,8664
2023-01-10,6099
2023-01-11,6336
2023-01-12,6366
2023-01-13,5875
2023-01-14,7645
2023-01-15,5281
2023-01-16,7161
2023-01-17,5099
2023-01-18,6524
2023-01-19,5994
2023-01-20,4232
2023-01-21,6176
2023-01-22,3284
2023-01-23,6302
2023-01-24,4816
2023-01-25,6217
2023-01-26,5053
2023-01-27,4908
2023-01-28,4020
2023-01-29,1825
2023-01-30,6253
2023-01-31,5959
2023-02-01,5993
2023-02-02,5118
2023-02-03,5744
2023-02-04,6173
2023-02-05,4043
2023-02-06,7246
2023-02-07,5788
2023-02-08,5520
2023-02-09,6880
2023-02-10,5945
2023-02-11,5572
2023-02-12,14537
2023-02-13,6822
2023-02-14,4235
2023-02-15,7575
2023-02-16,5686
2023-02-17,7123
2023-02-18,5221
2023-02-19,5484
2023-02-20,10845
2023-02-21,5232
2023-02-22,9390
2023-02-23,11024
2023-02-24,5736
2023-02-25,9705
2023-02-26,11678
2023-02-27,8814
2023-02-28,7686
2023-03-01,6555
2023-03-02,5556
2023-03-03,7981
2023-03-04,8806
2023-03-05,6651
2023-03-06,6674
2023-03-07,6000
2023-03-08,6116
2023-03-09,5526
2023-03-10,5499
2023-03-11,8768
2023-03-12,6234
2023-03-13,12555
2023-03-14,9478
2023-03-15,12086
2023-03-16,20542
2023-03-17,13775
2023-03-18,2730
2023-03-19,8808
2023-03-20,17488
2023-03-21,12181
2023-03-22,13926
2023-03-23,18467
2023-03-24,18292
2023-03-25,4916
2023-03-26,3328
2023-03-27,5223
2023-03-28,1566
2023-03-29,592
2023-03-30,2492
2023-03-31,2858
2023-04-01,2606
2023-04-02,3092
2023-04-03,5141
2023-04-04,3614
2023-04-05,3558
2023-04-06,6247
2023-04-07,4293
2023-04-08,5780
2023-04-09,5903
2023-04-10,4232
2023-04-11,4567
2023-04-12,10634
2023-04-13,18372
2023-04-14,18890
2023-04-15,19009
2023-04-16,9536
2023-04-17,6906
2023-04-18,6428
2023-04-19,5419
2023-04-20,5943
2023-04-21,6592
2023-04-22,9274
2023-04-23,7836
2023-04-24,8861
2023-04-25,6410
2023-04-26,5226
2023-04-27,7066
2023-04-28,9651
2023-04-29,4427
2023-04-30,9456
2023-05-01,7863
2023-05-02,4988
2023-05-03,8604
2023-05-04,9318
2023-05-05,8074
2023-05-06,8816
2023-05-07,8908
2023-05-08,5905
2023-05-09,7383
2023-05-10,10018
2023-05-11,9204
2023-05-12,8051
2023-05-13,7702
2023-05-14,5645
2023-05-15,5424
2023-05-16,5928
2023-05-17,6282
2023-05-18,4765
2023-05-19,6157
2023-05-20,12564
2023-05-21,5798
2023-05-22,4282
2023-05-23,3295
2023-05-24,6659
2023-05-25,6623
2023-05-26,5147
2023-05-27,12209
2023-05-28,6069
2023-05-29,7697
2023-05-30,3847
2023-05-31,3320
2023-06-01,7428
2023-06-02,3892
2023-06-03,6280
2023-06-04,4076
2023-06-05,4584
2023-06-06,2764
2023-06-07,3314
2023-06-08,4749
2023-06-09,4206
2023-06-10,4418
2023-06-11,8199
2023-06-12,5754
2023-06-13,8910
2023-06-14,5148
2023-06-15,6476
2023-06-16,5632
2023-06-17,3801
2023-06-18,6188
2023-06-19,14674
2023-06-20,26160
2023-06-21,23916
2023-06-22,16622
2023-06-23,21456
2023-06-24,19953
2023-06-25,32910
2023-06-26,10487
2023-06-27,39410
2023-06-28,15471
2023-06-29,16722
2023-06-30,5363
2023-07-01,6237
2023-07-02,12673
2023-07-03,5604
2023-07-04,3131
2023-07-05,2490
2023-07-06,5399
2023-07-07,2584
2023-07-08,6616
2023-07-09,3785
2023-07-10,5097
2023-07-11,4680
2023-07-12,4346
2023-07-13,5586
2023-07-14,6861
2023-07-15,5192
2023-07-16,3807
2023-07-17,3569
2023-07-18,6757
2023-07-19,6282
2023-07-20,5253
2023-07-21,2942
2023-07-22,6763
2023-07-23,6816
2023-07-24,4286
2023-07-25,2929
2023-07-26,6202
2023-07-27,6770
2023-07-28,3150
2023-07-29,1861
2023-07-30,3929
2023-07-31,4721
2023-08-01,1166
2023-08-02,85
2023-08-03,3815
2023-08-04,5356
